Cidades,Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
Júlio Borges,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.4,0.7423904974016332,6.2,86.6,1.5
Lagoa Alegre,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.4,0.4844961240310077,5.2,77.46,0.3
Lagoa de São Francisco,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,16.9,1.105670510187964,5.8,75.88,0.3
Lagoa do Barro do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.5,0.6006006006006006,5.3,78.92,0.3
Lagoa do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,29.9,0.2079002079002079,3.9,82.26,0.0
Lagoa do Sítio,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,13.7,0.6637168141592921,4.5,69.09,0.3
Lagoinha do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.1,0.3402517863218782,5.4,79.92,1.1
Landri Sales,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.7,0.3836562440053712,6.3,83.09,1.1
Luzilândia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,26.5,0.5123152709359605,4.5,74.29,3.6
Luís Correia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,28.5,0.2937240951666068,4.7,77.58,1.1
Madeiro,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,6.6,0.7470119521912351,4.7,74.32,0.4
Manoel Emídio,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,17.9,0.5759262814359762,5.9,80.57,0.6
Marcolândia,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,11.6,0.5859603890776984,5.1,77.05,0.0
Marcos Parente,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.7,0.6350550381033022,5.1,82.69,1.5
Massapê do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,25.2,0.5749329244921426,5.1,65.7,1.0
Matias Olímpio,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,18.2,0.5638567803777841,4.8,74.13,1.0
Miguel Alves,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,26.5,0.5287713841368584,3.8,70.57,0.4
Miguel Leão,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,10.7,0.7587253414264037,4.2,79.21,1.6
Milton Brandão,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,24.3,0.6114338122898196,4.5,69.89,0.6
Monsenhor Gil,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.3,0.4875670404680643,4.7,81.93,0.8
Monsenhor Hipólito,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,13.4,0.5279134221987595,6.4,73.13,0.1
Monte Alegre do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,19.5,0.7504690431519699,4.1,80.93,1.0
Morro Cabeça no Tempo,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,18.7,0.4569339730408956,3.9,80.78,2.6
Morro do Chapéu do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,20.0,0.7782101167315175,4.8,72.26,0.9
Murici dos Portelas,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,29.2,0.3062161886291721,5.1,69.75,5.0
Nazaré do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,15.4,0.900225056264066,5.6,76.21,0.4
Nazária,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.3,0.1948937828883258,5.8,76.42,0.8
Nossa Senhora de Nazaré,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.7,0.5738332058148432,5.6,77.85,0.3
Nossa Senhora dos Remédios,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,28.7,1.0557184750733135,5.1,73.19,2.0
