"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Município";"Idade";"Ano x Sexo x Cor ou raça"
"Murici dos Portelas (PI)";"Total";"69,75"
"Nazaré do Piauí (PI)";"Total";"76,21"
"Nazária (PI)";"Total";"76,42"
"Nossa Senhora de Nazaré (PI)";"Total";"77,85"
"Nossa Senhora dos Remédios (PI)";"Total";"73,19"
"Novo Oriente do Piauí (PI)";"Total";"74,93"
"Novo Santo Antônio (PI)";"Total";"70,86"
"Oeiras (PI)";"Total";"82,67"
"Olho D'Água do Piauí (PI)";"Total";"77,92"
"Padre Marcos (PI)";"Total";"65,99"
"Paes Landim (PI)";"Total";"80,42"
"Pajeú do Piauí (PI)";"Total";"76,64"
"Palmeira do Piauí (PI)";"Total";"80,74"
"Palmeirais (PI)";"Total";"75,80"
"Paquetá (PI)";"Total";"65,72"
"Parnaguá (PI)";"Total";"82,97"
"Parnaíba (PI)";"Total";"88,26"
"Passagem Franca do Piauí (PI)";"Total";"74,49"
"Patos do Piauí (PI)";"Total";"69,53"
"Pau D'Arco do Piauí (PI)";"Total";"74,21"
"Paulistana (PI)";"Total";"77,19"
"Pavussu (PI)";"Total";"71,07"
"Pedro II (PI)";"Total";"75,19"
"Pedro Laurentino (PI)";"Total";"80,25"
"Nova Santa Rita (PI)";"Total";"77,28"
"Picos (PI)";"Total";"86,29"
"Pimenteiras (PI)";"Total";"72,13"
"Pio IX (PI)";"Total";"75,22"
"Piracuruca (PI)";"Total";"76,74"
"Piripiri (PI)";"Total";"80,82"
"Porto (PI)";"Total";"74,64"
"Porto Alegre do Piauí (PI)";"Total";"79,51"
"Prata do Piauí (PI)";"Total";"73,84"
"Queimada Nova (PI)";"Total";"79,28"
"Redenção do Gurguéia (PI)";"Total";"82,07"
"Regeneração (PI)";"Total";"74,82"
"Riacho Frio (PI)";"Total";"83,49"
"Ribeira do Piauí (PI)";"Total";"72,86"
"Ribeiro Gonçalves (PI)";"Total";"83,29"
"Rio Grande do Piauí (PI)";"Total";"77,87"
"Santa Cruz do Piauí (PI)";"Total";"76,11"
"Santa Cruz dos Milagres (PI)";"Total";"76,77"
"Santa Filomena (PI)";"Total";"82,18"
"Santa Luz (PI)";"Total";"81,73"
"Santana do Piauí (PI)";"Total";"73,25"
"Santa Rosa do Piauí (PI)";"Total";"76,17"
"Santo Antônio de Lisboa (PI)";"Total";"78,85"
"Santo Antônio dos Milagres (PI)";"Total";"78,04"
"Santo Inácio do Piauí (PI)";"Total";"75,64"
"São Braz do Piauí (PI)";"Total";"77,18"
"São Félix do Piauí (PI)";"Total";"77,91"
"São Francisco de Assis do Piauí (PI)";"Total";"74,37"
"São Francisco do Piauí (PI)";"Total";"72,99"
"São Gonçalo do Gurguéia (PI)";"Total";"82,11"
"São Gonçalo do Piauí (PI)";"Total";"79,20"
"São João da Canabrava (PI)";"Total";"75,21"
"São João da Fronteira (PI)";"Total";"73,19"
"São João da Serra (PI)";"Total";"71,77"
"São João da Varjota (PI)";"Total";"72,33"
"São João do Arraial (PI)";"Total";"76,95"
"São João do Piauí (PI)";"Total";"82,99"
"São José do Divino (PI)";"Total";"69,87"
"São José do Peixe (PI)";"Total";"79,69"
"São José do Piauí (PI)";"Total";"72,57"
"São Julião (PI)";"Total";"72,34"
"São Lourenço do Piauí (PI)";"Total";"83,69"
"São Luis do Piauí (PI)";"Total";"73,55"
"São Miguel da Baixa Grande (PI)";"Total";"70,82"
"São Miguel do Fidalgo (PI)";"Total";"77,30"
"São Miguel do Tapuio (PI)";"Total";"71,42"
"São Pedro do Piauí (PI)";"Total";"76,66"
"São Raimundo Nonato (PI)";"Total";"85,82"
"Sebastião Barros (PI)";"Total";"81,08"
"Sebastião Leal (PI)";"Total";"79,18"
"Sigefredo Pacheco (PI)";"Total";"72,81"
"Simões (PI)";"Total";"76,78"
"Simplício Mendes (PI)";"Total";"83,53"
"Socorro do Piauí (PI)";"Total";"78,55"
"Sussuapara (PI)";"Total";"77,70"
"Tamboril do Piauí (PI)";"Total";"73,75"
"Tanque do Piauí (PI)";"Total";"81,07"
"Teresina (PI)";"Total";"92,88"
"União (PI)";"Total";"77,02"
"Uruçuí (PI)";"Total";"86,70"
"Valença do Piauí (PI)";"Total";"81,96"
"Várzea Branca (PI)";"Total";"73,50"
"Várzea Grande (PI)";"Total";"78,27"
"Vera Mendes (PI)";"Total";"68,31"
"Vila Nova do Piauí (PI)";"Total";"73,10"
"Wall Ferraz (PI)";"Total";"71,13"
"Abaiara (CE)";"Total";"76,84"
"Acarape (CE)";"Total";"84,03"
"Acaraú (CE)";"Total";"78,75"
"Acopiara (CE)";"Total";"72,73"
"Aiuaba (CE)";"Total";"71,66"
"Alcântaras (CE)";"Total";"80,48"
"Altaneira (CE)";"Total";"77,10"
"Alto Santo (CE)";"Total";"79,67"
"Amontada (CE)";"Total";"80,23"
"Antonina do Norte (CE)";"Total";"73,35"
"Apuiarés (CE)";"Total";"79,72"
"Aquiraz (CE)";"Total";"86,13"
"Aracati (CE)";"Total";"84,66"
"Aracoiaba (CE)";"Total";"76,89"
"Ararendá (CE)";"Total";"77,29"
"Araripe (CE)";"Total";"73,17"
"Aratuba (CE)";"Total";"82,79"
"Arneiroz (CE)";"Total";"75,89"
"Assaré (CE)";"Total";"74,37"
"Aurora (CE)";"Total";"77,55"
"Baixio (CE)";"Total";"78,77"
"Banabuiú (CE)";"Total";"76,20"
"Barbalha (CE)";"Total";"87,61"
"Barreira (CE)";"Total";"79,95"
"Barro (CE)";"Total";"79,30"
"Barroquinha (CE)";"Total";"72,21"
"Baturité (CE)";"Total";"83,61"
"Beberibe (CE)";"Total";"80,03"
"Bela Cruz (CE)";"Total";"80,62"
"Boa Viagem (CE)";"Total";"75,66"
"Brejo Santo (CE)";"Total";"83,98"
"Camocim (CE)";"Total";"81,03"
"Campos Sales (CE)";"Total";"77,35"
